model,instruction_type,condition,replicate,budget,k,provider,model_id,role,run_id,presentation_seed,status,ok,stop_reason,input_tokens,output_tokens,error
gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,run_001,2027,success,TRUE,completed,3658,1098,NA
gpt_terra,basic,k_free,2,free,NA,openai,gpt-5.6-terra,primary,run_002,2028,success,TRUE,completed,3658,1323,NA
gpt_terra,basic,k_free,3,free,NA,openai,gpt-5.6-terra,primary,run_003,2029,success,TRUE,completed,3658,1173,NA
gpt_terra,basic,k_free,4,free,NA,openai,gpt-5.6-terra,primary,run_004,2030,success,TRUE,completed,3658,1527,NA
gpt_terra,basic,k_free,5,free,NA,openai,gpt-5.6-terra,primary,run_005,2031,success,TRUE,completed,3658,1326,NA
gpt_terra,basic,k_free,6,free,NA,openai,gpt-5.6-terra,primary,run_006,2032,success,TRUE,completed,3658,1418,NA
gpt_terra,basic,k_free,7,free,NA,openai,gpt-5.6-terra,primary,run_007,2033,success,TRUE,completed,3658,1268,NA
gpt_terra,basic,k_free,8,free,NA,openai,gpt-5.6-terra,primary,run_008,2034,success,TRUE,completed,3658,1222,NA
gpt_terra,basic,k_free,9,free,NA,openai,gpt-5.6-terra,primary,run_009,2035,success,TRUE,completed,3658,1242,NA
gpt_terra,basic,k_free,10,free,NA,openai,gpt-5.6-terra,primary,run_010,2036,success,TRUE,completed,3658,1328,NA
gpt_terra,basic,k_free,11,free,NA,openai,gpt-5.6-terra,primary,run_011,2037,success,TRUE,completed,3658,1375,NA
gpt_terra,basic,k_free,12,free,NA,openai,gpt-5.6-terra,primary,run_012,2038,success,TRUE,completed,3658,1284,NA
gpt_terra,basic,k_free,13,free,NA,openai,gpt-5.6-terra,primary,run_013,2039,success,TRUE,completed,3658,1308,NA
gpt_terra,basic,k_free,14,free,NA,openai,gpt-5.6-terra,primary,run_014,2040,success,TRUE,completed,3658,1360,NA
gpt_terra,basic,k_free,15,free,NA,openai,gpt-5.6-terra,primary,run_015,2041,success,TRUE,completed,3658,1330,NA
gpt_terra,basic,k_free,16,free,NA,openai,gpt-5.6-terra,primary,run_016,2042,success,TRUE,completed,3658,1408,NA
gpt_terra,basic,k_free,17,free,NA,openai,gpt-5.6-terra,primary,run_017,2043,success,TRUE,completed,3658,1315,NA
gpt_terra,basic,k_free,18,free,NA,openai,gpt-5.6-terra,primary,run_018,2044,success,TRUE,completed,3658,1308,NA
