model,instruction_type,condition,replicate,budget,k,provider,model_id,role,run_id,presentation_seed,status,ok,stop_reason,input_tokens,output_tokens,error
gpt_terra,basic,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,run_001,10002027,success,TRUE,completed,3626,1172,NA
gpt_terra,basic,k_fixed,2,fixed,15,openai,gpt-5.6-terra,primary,run_002,10002028,success,TRUE,completed,3626,1139,NA
gpt_terra,basic,k_fixed,3,fixed,15,openai,gpt-5.6-terra,primary,run_003,10002029,success,TRUE,completed,3626,1041,NA
gpt_terra,basic,k_fixed,4,fixed,15,openai,gpt-5.6-terra,primary,run_004,10002030,success,TRUE,completed,3626,977,NA
gpt_terra,basic,k_fixed,5,fixed,15,openai,gpt-5.6-terra,primary,run_005,10002031,success,TRUE,completed,3626,1122,NA
gpt_terra,basic,k_fixed,6,fixed,15,openai,gpt-5.6-terra,primary,run_006,10002032,success,TRUE,completed,3626,995,NA
gpt_terra,basic,k_fixed,7,fixed,15,openai,gpt-5.6-terra,primary,run_007,10002033,success,TRUE,completed,3626,1059,NA
gpt_terra,basic,k_fixed,8,fixed,15,openai,gpt-5.6-terra,primary,run_008,10002034,success,TRUE,completed,3626,996,NA
gpt_terra,basic,k_fixed,9,fixed,15,openai,gpt-5.6-terra,primary,run_009,10002035,success,TRUE,completed,3626,1214,NA
gpt_terra,basic,k_fixed,10,fixed,15,openai,gpt-5.6-terra,primary,run_010,10002036,success,TRUE,completed,3626,1174,NA
gpt_terra,basic,k_fixed,11,fixed,15,openai,gpt-5.6-terra,primary,run_011,10002037,success,TRUE,completed,3626,1008,NA
gpt_terra,basic,k_fixed,12,fixed,15,openai,gpt-5.6-terra,primary,run_012,10002038,success,TRUE,completed,3626,1030,NA
gpt_terra,basic,k_fixed,13,fixed,15,openai,gpt-5.6-terra,primary,run_013,10002039,success,TRUE,completed,3626,1026,NA
gpt_terra,basic,k_fixed,14,fixed,15,openai,gpt-5.6-terra,primary,run_014,10002040,success,TRUE,completed,3626,1150,NA
gpt_terra,basic,k_fixed,15,fixed,15,openai,gpt-5.6-terra,primary,run_015,10002041,success,TRUE,completed,3626,1089,NA
gpt_terra,basic,k_fixed,16,fixed,15,openai,gpt-5.6-terra,primary,run_016,10002042,success,TRUE,completed,3626,1264,NA
gpt_terra,basic,k_fixed,17,fixed,15,openai,gpt-5.6-terra,primary,run_017,10002043,success,TRUE,completed,3626,1004,NA
gpt_terra,basic,k_fixed,18,fixed,15,openai,gpt-5.6-terra,primary,run_018,10002044,success,TRUE,completed,3626,1340,NA
gpt_terra,basic,k_fixed,19,fixed,15,openai,gpt-5.6-terra,primary,run_019,10002045,success,TRUE,completed,3626,997,NA
gpt_terra,basic,k_fixed,20,fixed,15,openai,gpt-5.6-terra,primary,run_020,10002046,success,TRUE,completed,3626,1083,NA
gpt_terra,basic,k_fixed,21,fixed,15,openai,gpt-5.6-terra,primary,run_021,10002047,success,TRUE,completed,3626,1262,NA
gpt_terra,basic,k_fixed,22,fixed,15,openai,gpt-5.6-terra,primary,run_022,10002048,success,TRUE,completed,3626,1040,NA
gpt_terra,basic,k_fixed,23,fixed,15,openai,gpt-5.6-terra,primary,run_023,10002049,success,TRUE,completed,3626,992,NA
gpt_terra,basic,k_fixed,24,fixed,15,openai,gpt-5.6-terra,primary,run_024,10002050,success,TRUE,completed,3626,1161,NA
gpt_terra,basic,k_fixed,25,fixed,15,openai,gpt-5.6-terra,primary,run_025,10002051,success,TRUE,completed,3626,1138,NA
gpt_terra,basic,k_fixed,26,fixed,15,openai,gpt-5.6-terra,primary,run_026,10002052,success,TRUE,completed,3626,1153,NA
gpt_terra,basic,k_fixed,27,fixed,15,openai,gpt-5.6-terra,primary,run_027,10002053,success,TRUE,completed,3626,964,NA
gpt_terra,basic,k_fixed,28,fixed,15,openai,gpt-5.6-terra,primary,run_028,10002054,success,TRUE,completed,3626,1137,NA
gpt_terra,basic,k_fixed,29,fixed,15,openai,gpt-5.6-terra,primary,run_029,10002055,success,TRUE,completed,3626,984,NA
gpt_terra,basic,k_fixed,30,fixed,15,openai,gpt-5.6-terra,primary,run_030,10002056,success,TRUE,completed,3626,1291,NA
gpt_terra,basic,k_fixed,31,fixed,15,openai,gpt-5.6-terra,primary,run_031,10002057,success,TRUE,completed,3626,1121,NA
gpt_terra,basic,k_fixed,32,fixed,15,openai,gpt-5.6-terra,primary,run_032,10002058,success,TRUE,completed,3626,1171,NA
gpt_terra,basic,k_fixed,33,fixed,15,openai,gpt-5.6-terra,primary,run_033,10002059,success,TRUE,completed,3626,991,NA
gpt_terra,basic,k_fixed,34,fixed,15,openai,gpt-5.6-terra,primary,run_034,10002060,success,TRUE,completed,3626,1310,NA
gpt_terra,basic,k_fixed,35,fixed,15,openai,gpt-5.6-terra,primary,run_035,10002061,success,TRUE,completed,3626,1124,NA
gpt_terra,basic,k_fixed,36,fixed,15,openai,gpt-5.6-terra,primary,run_036,10002062,success,TRUE,completed,3626,997,NA
gpt_terra,basic,k_fixed,37,fixed,15,openai,gpt-5.6-terra,primary,run_037,10002063,success,TRUE,completed,3626,1019,NA
gpt_terra,basic,k_fixed,38,fixed,15,openai,gpt-5.6-terra,primary,run_038,10002064,success,TRUE,completed,3626,1020,NA
gpt_terra,basic,k_fixed,39,fixed,15,openai,gpt-5.6-terra,primary,run_039,10002065,success,TRUE,completed,3626,1048,NA
gpt_terra,basic,k_fixed,40,fixed,15,openai,gpt-5.6-terra,primary,run_040,10002066,success,TRUE,completed,3626,975,NA
gpt_terra,basic,k_fixed,41,fixed,15,openai,gpt-5.6-terra,primary,run_041,10002067,success,TRUE,completed,3626,1008,NA
gpt_terra,basic,k_fixed,42,fixed,15,openai,gpt-5.6-terra,primary,run_042,10002068,success,TRUE,completed,3626,1075,NA
gpt_terra,basic,k_fixed,43,fixed,15,openai,gpt-5.6-terra,primary,run_043,10002069,success,TRUE,completed,3626,1103,NA
gpt_terra,basic,k_fixed,44,fixed,15,openai,gpt-5.6-terra,primary,run_044,10002070,success,TRUE,completed,3626,1127,NA
gpt_terra,basic,k_fixed,45,fixed,15,openai,gpt-5.6-terra,primary,run_045,10002071,success,TRUE,completed,3626,1010,NA
gpt_terra,basic,k_fixed,46,fixed,15,openai,gpt-5.6-terra,primary,run_046,10002072,success,TRUE,completed,3626,1182,NA
gpt_terra,basic,k_fixed,47,fixed,15,openai,gpt-5.6-terra,primary,run_047,10002073,success,TRUE,completed,3626,992,NA
gpt_terra,basic,k_fixed,48,fixed,15,openai,gpt-5.6-terra,primary,run_048,10002074,success,TRUE,completed,3626,996,NA
gpt_terra,basic,k_fixed,49,fixed,15,openai,gpt-5.6-terra,primary,run_049,10002075,success,TRUE,completed,3626,973,NA
gpt_terra,basic,k_fixed,50,fixed,15,openai,gpt-5.6-terra,primary,run_050,10002076,success,TRUE,completed,3626,999,NA
gpt_terra,basic,k_fixed,51,fixed,15,openai,gpt-5.6-terra,primary,run_051,10002077,success,TRUE,completed,3626,1495,NA
gpt_terra,basic,k_fixed,52,fixed,15,openai,gpt-5.6-terra,primary,run_052,10002078,success,TRUE,completed,3626,1281,NA
gpt_terra,basic,k_fixed,53,fixed,15,openai,gpt-5.6-terra,primary,run_053,10002079,success,TRUE,completed,3626,1190,NA
