run_id,presentation_seed,position,activity_id,activity
run_001,2027,1,a_JJ52,Students examine recommendations to source low emission steel for public infrastructure projects and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,2,a_LY95,Students examine recommendations to create live tracking for steel waste from all new constructions and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,3,a_ZJ09,Students examine recommendations to commit to purchasing refurbished rather than new smartphones and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,4,a_FK75,Students examine recommendations to target community activation with pop-up clothing donation bins and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,5,a_FR04,Students examine recommendations to provide government sponsorship for long-lifespan smartphones and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,6,a_NG26,Students examine recommendations to serve only plant-based foods at all public catered events and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,7,a_QL28,Students examine recommendations to consider native urban tree suggestions for planting nearby and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,8,a_SL14,Students examine recommendations to dedicate minimum car-free zones in cities for active travel and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,9,a_TK86,Students examine recommendations to give support to crowdfunded insulation for local applicants and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,10,a_NY62,Students examine recommendations to adopt a plant-based diet that prioritises unrefined produce and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,11,a_II46,Students examine recommendations to regulate leak detection systems for commercial refrigerants and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,12,a_NV89,Students examine recommendations to plan bulk-buy schemes for energy-efficient home appliances and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,13,a_II96,Students examine recommendations to target rules that ban clothes drying in publicly visible areas and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,14,a_HS96,Students examine recommendations to determine higher-quality wood products for durable purchases and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,15,a_ZM35,Students examine recommendations to offer fast government agency approvals for urban tree planting and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,16,a_NS70,Students examine recommendations to engage with community apps listing nearby food for rescue and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,17,a_HL93,Students examine recommendations to get a second household bin intended for sorting plastic waste and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,18,a_JP43,Students examine recommendations to deploy non-hierarchical appearance grading for wood products and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,19,a_RO52,Students examine recommendations to take responsibility for a nearby urban tree by adopting it and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,20,a_MK83,Students examine recommendations to offer accessible action days checking for refrigeration leaks and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,21,a_UM47,Students examine recommendations to coordinate subsidised home solar panel installation schemes and determine how the strategy could limit anthropogenic impact on Earth's systems.
run_001,2027,22,a_WK32,Students examine recommendations to set lower heating settings at home by layering warm clothing and determine how the strategy could limit anthropogenic impact on Earth's systems.
